name,company,title,city,market,website,source_url,scraped_date
Dean Smith,Newmark,"Vice Chairman, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/dean-smith,https://www.nmrk.com/people/dean-smith,2026-07-10
John Heimburger,Newmark,"Vice Chairman, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/john-heimburger,https://www.nmrk.com/people/john-heimburger,2026-07-10
Jason Kon,Newmark,"Senior Managing Director, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/jason-kon,https://www.nmrk.com/people/jason-kon,2026-07-10
Sean Wood,Newmark,"Vice Chairman, Multifamily Capital Markets",Raleigh-Durham,Charlotte + Raleigh,https://www.nmrk.com/people/sean-wood,https://www.nmrk.com/people/sean-wood,2026-07-10
John Munroe,Newmark,"Senior Managing Director, Multifamily Capital Markets",Raleigh-Durham,Charlotte + Raleigh,https://www.nmrk.com/people/john-munroe,https://www.nmrk.com/people/john-munroe,2026-07-10
Jordan McCarley,Cushman & Wakefield,Executive Vice Chair,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-10
Paul Marley,Cushman & Wakefield,Vice Chair,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-10
Alex McDermott,Cushman & Wakefield,Executive Managing Director,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-10
Alex Phillips,Cushman & Wakefield,Senior Director,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-10
Rhodes Marley,Cushman & Wakefield,Senior Associate,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-10
Gavin Conlon,Cushman & Wakefield,Senior Associate,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-10
Charlie Gravina,Cushman & Wakefield,Senior Associate,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-10
Hannah Duley,Cushman & Wakefield,Transaction Specialist,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-10
