name,company,title,city,market,website,source_url,scraped_date,seniority_score,market_fit_score,specialty_score,verification_score,performance_evidence_score,recruiting_score,priority,confidence
Jordan McCarley,Cushman & Wakefield,Executive Vice Chair,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-13,30,20,20,15,0,70,B,Medium
Paul Marley,Cushman & Wakefield,Vice Chair,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-13,28,20,20,15,0,68,B,Medium
Dean Smith,Newmark,"Vice Chairman, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/dean-smith,https://www.nmrk.com/people/dean-smith,2026-07-13,28,20,20,15,0,68,B,High
John Heimburger,Newmark,"Vice Chairman, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/john-heimburger,https://www.nmrk.com/people/john-heimburger,2026-07-13,28,20,20,15,0,68,B,High
Sean Wood,Newmark,"Vice Chairman, Multifamily Capital Markets",Raleigh-Durham,Charlotte + Raleigh,https://www.nmrk.com/people/sean-wood,https://www.nmrk.com/people/sean-wood,2026-07-13,28,20,20,15,0,68,B,High
Alex McDermott,Cushman & Wakefield,Executive Managing Director,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-13,25,20,20,15,0,65,B,Medium
Jason Kon,Newmark,"Senior Managing Director, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/jason-kon,https://www.nmrk.com/people/jason-kon,2026-07-13,23,20,20,15,0,63,B,High
John Munroe,Newmark,"Senior Managing Director, Multifamily Capital Markets",Raleigh-Durham,Charlotte + Raleigh,https://www.nmrk.com/people/john-munroe,https://www.nmrk.com/people/john-munroe,2026-07-13,23,20,20,15,0,63,B,High
Alex Phillips,Cushman & Wakefield,Senior Director,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-13,17,20,20,15,0,57,C,Medium
Charlie Gravina,Cushman & Wakefield,Senior Associate,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-13,8,20,20,15,0,48,C,Medium
Gavin Conlon,Cushman & Wakefield,Senior Associate,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-13,8,20,20,15,0,48,C,Medium
Rhodes Marley,Cushman & Wakefield,Senior Associate,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-13,8,20,20,15,0,48,C,Medium
Hannah Duley,Cushman & Wakefield,Transaction Specialist,,Charlotte + Raleigh,https://multifamily.cushwake.com/Offices/Charlotte/Team,https://multifamily.cushwake.com/Offices/Charlotte/Team,2026-07-13,2,20,20,15,0,42,Research,Medium
