name,company,seed_title,seed_city,market,profile_url,final_url,verification_status,profile_active,name_found,company_found,seed_title_found,change_detected,change_flags,fetch_method,http_status,page_title,detected_volume_usd,volume_confidence,volume_evidence,detected_deal_count,deal_count_confidence,deal_count_evidence,detected_units,units_confidence,units_evidence,extraction_confidence,evidence_snippet,verified_date,fetch_error
Dean Smith,Newmark,"Vice Chairman, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/dean-smith,https://www.nmrk.com/people/dean-smith,Verified,Yes,Yes,Yes,No,Yes,seed_title_not_found,playwright,200,Dean Smith | Newmark,34000000000,High,"A founding partner of ARA prior to the company’s acquisition, Smith has led or been meaningfully involved in more than $34 billion in multifamily brokerage sales since 2000.",,Low,,,Low,,High,"A founding partner of ARA prior to the company’s acquisition, Smith has led or been meaningfully involved in more than $34 billion in multifamily brokerage sales since 2000.",2026-07-13,403 Client Error: Forbidden for url: https://www.nmrk.com/people/dean-smith
John Heimburger,Newmark,"Vice Chairman, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/john-heimburger,https://www.nmrk.com/people/john-heimburger,Verified,Yes,Yes,Yes,Yes,No,,playwright,200,John Heimburger | Newmark,30000000000,Medium,"Since joining Newmark in 2006, Heimburger has been meaningfully involved in over $30 billion of multihousing investment sales totaling over 210,000 apartment units.",,Low,,210000,High,"Since joining Newmark in 2006, Heimburger has been meaningfully involved in over $30 billion of multihousing investment sales totaling over 210,000 apartment units.",Medium,"Since joining Newmark in 2006, Heimburger has been meaningfully involved in over $30 billion of multihousing investment sales totaling over 210,000 apartment units. | Since joining Newmark in 2006, Heimburger has been meaningfully involved in over $30 billion of multihousing investment sales totaling over 210,000 apartment units.",2026-07-13,403 Client Error: Forbidden for url: https://www.nmrk.com/people/john-heimburger
Jason Kon,Newmark,"Senior Managing Director, Multifamily Capital Markets",Charlotte,Charlotte + Raleigh,https://www.nmrk.com/people/jason-kon,https://www.nmrk.com/people/jason-kon,Verified,Yes,Yes,Yes,Yes,No,,playwright,200,Jason Kon | Newmark,25000000000,High,Kon has led or been meaningfully involved in more than $25 billion in multifamily brokerage sales since 2014.,,Low,,,Low,,High,Kon has led or been meaningfully involved in more than $25 billion in multifamily brokerage sales since 2014.,2026-07-13,403 Client Error: Forbidden for url: https://www.nmrk.com/people/jason-kon
Sean Wood,Newmark,"Vice Chairman, Multifamily Capital Markets",Raleigh-Durham,Charlotte + Raleigh,https://www.nmrk.com/people/sean-wood,https://www.nmrk.com/people/sean-wood,Verified,Yes,Yes,Yes,No,Yes,seed_title_not_found,playwright,200,Sean Wood | Newmark,30000000000,Medium,"Since joining Newmark in 2007, Wood has been involved in over $30 billion of multifamily investment sales totaling over 195,000 apartment units.",,Low,,195000,High,"Since joining Newmark in 2007, Wood has been involved in over $30 billion of multifamily investment sales totaling over 195,000 apartment units.",Medium,"Since joining Newmark in 2007, Wood has been involved in over $30 billion of multifamily investment sales totaling over 195,000 apartment units. | Since joining Newmark in 2007, Wood has been involved in over $30 billion of multifamily investment sales totaling over 195,000 apartment units.",2026-07-13,403 Client Error: Forbidden for url: https://www.nmrk.com/people/sean-wood
John Munroe,Newmark,"Senior Managing Director, Multifamily Capital Markets",Raleigh-Durham,Charlotte + Raleigh,https://www.nmrk.com/people/john-munroe,https://www.nmrk.com/people/john-munroe,Verified,Yes,Yes,Yes,Yes,No,,playwright,200,John Munroe | Newmark,26000000000,High,Munroe has led or been meaningfully involved in more than $26 billion in multifamily brokerage sales since he joined the firm in 2013.,,Low,,,Low,,High,Munroe has led or been meaningfully involved in more than $26 billion in multifamily brokerage sales since he joined the firm in 2013.,2026-07-13,403 Client Error: Forbidden for url: https://www.nmrk.com/people/john-munroe
John Gavigan,JLL,"Managing Director, Capital Markets",Charlotte,Charlotte + Raleigh,https://www.jll.com/en-us/people/bio-broker/john.gavigan,https://www.jll.com/en-us/people/bio-broker/john.gavigan,Verified,Yes,Yes,Yes,Yes,No,,requests,200,"John Gavigan | Managing Director, Capital Markets | United States",,Low,,,Low,,,Low,,Low,,2026-07-13,
John Mikels,JLL,"Managing Director, Capital Markets",Charlotte,Charlotte + Raleigh,https://www.jll.com/en-us/people/bio-broker/john.mikels,https://www.jll.com/en-us/people/bio-broker/john.mikels,Verified,Yes,Yes,Yes,Yes,No,,requests,200,"John Mikels | Managing Director, Capital Markets | United States",,Low,,,Low,,,Low,,Low,,2026-07-13,
Ben Bury,JLL,"Senior Director, Capital Markets",Charlotte,Charlotte + Raleigh,https://www.jll.com/en-us/people/bio-broker/ben.bury,https://www.jll.com/en-us/people/bio-broker/ben.bury,Verified,Yes,Yes,Yes,Yes,No,,requests,200,"Ben Bury | Senior Director, Capital Markets | United States",,Low,,,Low,,,Low,,Low,,2026-07-13,
Tai Cohen,CBRE,Vice Chairman,Carolinas,Charlotte + Raleigh,https://www.cbre.com/people/tai-cohen,https://www.cbre.com/people/tai-cohen,Verified,Yes,Yes,Yes,Yes,No,,requests,200,Tai Cohen | CBRE,,Low,,500,Medium,"With over 13 years of experience in the multifamily real estate sector, Tai has played a pivotal role in more than 500 transactions, encompassing over 75,000 units and exceeding $10 billion in total value.",,Low,,Medium,"With over 13 years of experience in the multifamily real estate sector, Tai has played a pivotal role in more than 500 transactions, encompassing over 75,000 units and exceeding $10 billion in total value.",2026-07-13,
John Phoenix,CBRE,Vice Chairman,Charlotte,Charlotte + Raleigh,https://www.cbre.com/people/john-phoenix,https://www.cbre.com/people/john-phoenix,Verified,Yes,Yes,Yes,Yes,No,,requests,200,John Phoenix | CBRE,7000000000,High,"Over the course of his career, John has been directly involved in more than 250 transactions, representing over 48,000 units and exceeding $7 billion in total transaction volume.",250,Medium,"Over the course of his career, John has been directly involved in more than 250 transactions, representing over 48,000 units and exceeding $7 billion in total transaction volume.",,Low,,Medium,"Over the course of his career, John has been directly involved in more than 250 transactions, representing over 48,000 units and exceeding $7 billion in total transaction volume. | Over the course of his career, John has been directly involved in more than 250 transactions, representing over 48,000 units and exceeding $7 billion in total transaction volume.",2026-07-13,
Kevin Kempf,CBRE,Executive Vice President,Charlotte,Charlotte + Raleigh,https://www.cbre.com/people/kevin-kempf,https://www.cbre.com/people/kevin-kempf,Verified,Yes,Yes,Yes,Yes,No,,requests,200,Kevin Kempf | CBRE,,Low,,,Low,,,Low,,Low,,2026-07-13,
Richard Gore,CBRE,First Vice President,Carolinas,Charlotte + Raleigh,https://www.cbre.com/people/richard-gore-iii,https://www.cbre.com/people/richard-gore-iii,Verified,Yes,Yes,Yes,Yes,No,,requests,200,Richard Gore | CBRE,2400000000,High,"Since beginning his career in 2015, Richard has been directly involved in the sale of more than 17,000 multifamily units, representing an aggregate transaction volume exceeding $2.4 billion.",,Low,,17000,High,"Since beginning his career in 2015, Richard has been directly involved in the sale of more than 17,000 multifamily units, representing an aggregate transaction volume exceeding $2.4 billion.",High,"Since beginning his career in 2015, Richard has been directly involved in the sale of more than 17,000 multifamily units, representing an aggregate transaction volume exceeding $2.4 billion. | Since beginning his career in 2015, Richard has been directly involved in the sale of more than 17,000 multifamily units, representing an aggregate transaction volume exceeding $2.4 billion.",2026-07-13,
Louis Smart,CBRE,Senior Vice President,Carolinas,Charlotte + Raleigh,https://www.cbre.com/people/louis-smart,https://www.cbre.com/people/louis-smart,Verified,Yes,Yes,Yes,Yes,No,,requests,200,Louis Smart | CBRE,,Low,,,Low,,,Low,,Low,,2026-07-13,
Michael Saclarides,Walker & Dunlop,"Managing Director, Investment Sales",Charlotte,Charlotte + Raleigh,https://www.walkerdunlop.com/about/people/michael-saclarides,https://www.walkerdunlop.com/about/people/michael-saclarides,Verified,Yes,Yes,Yes,No,Yes,seed_title_not_found,requests,200,Michael Saclarides | Managing Director | Walker & Dunlop,,Low,,,Low,,,Low,,Low,,2026-07-13,
Devin Bryan,Walker & Dunlop,"Director, Investment Sales",Charlotte,Charlotte + Raleigh,https://www.walkerdunlop.com/about/people/devin-bryan,https://www.walkerdunlop.com/about/people/devin-bryan,Verified,Yes,Yes,Yes,Yes,No,,requests,200,"Devin Bryan | Director, Investment Sales | Walker & Dunlop",,Low,,,Low,,,Low,,Low,,2026-07-13,
Teddy Szyperski,Walker & Dunlop,"Associate Director, Investment Sales",Charlotte,Charlotte + Raleigh,https://www.walkerdunlop.com/about/people/teddy-szyperski,https://www.walkerdunlop.com/about/people/teddy-szyperski,Verified,Yes,Yes,Yes,Yes,No,,requests,200,"Teddy Szyperski | Associate Director, Investment Sales | Walker & Dunlop",,Low,,,Low,,,Low,,Low,,2026-07-13,
